goal_id,user_id,goal_name,target_amount,current_amount,target_date,created_at
"1a2b3c4d-5e6f-7g8h-9i0j","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Retirement Fund",50000.00,10000.00,"2030-01-01","2022-01-01 12:00:00"
"2b3c4d5e-6f7g-8h9i-0j1a","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Vacation Fund",3000.00,500.00,"2023-06-01","2022-01-02 08:00:00"
"3c4d5e6f-7g8h-9i0j-1a2b","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Emergency Fund",10000.00,2000.00,"2023-12-31","2022-01-03 10:00:00"
"4d5e6f7g-8h9i-0j1a-2b3c","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","House Down Payment",50000.00,10000.00,"2025-01-01","2022-01-04 09:00:00"
"5e6f7g8h-9i0j-1a2b-3c4d","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Car Fund",15000.00,3000.00,"2024-08-01","2022-01-05 14:00:00"
"6f7g8h9i-0j1a-2b3c-4d5e","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Education Fund",20000.00,4000.00,"2026-01-01","2022-01-06 11:00:00"
"7g8h9i0j-1a2b-3c4d-5e6f","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Travel Fund",8000.00,1500.00,"2023-12-01","2022-01-07 16:00:00"
"8h9i0j1a-2b3c-4d5e","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Investment Fund",50000.00,10000.00,"2030-01-01","2022-01-08 13:00:00"
"9i0j1a2b-3c4d-5e6f","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Health Fund",10000.00,2000.00,"2023-06-01","2022-01-09 18:00:00"
"0j1a2b3c-4d5e-6f7g","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Charity Fund",5000.00,1000.00,"2022-12-01","2022-01-10 15:00:00"